2021-06-10,Electronic Funds Transfer PAY SALARIES EDUCATION,,1954.75
2021-06-09,Point of Sale - Interac RETAIL PURCHASE 000001805178 THE BULK BARN,27.48,
2021-06-09,Point of Sale - Interac RETAIL PURCHASE 000001001083 REITMANS #1114,16.34,
2021-06-09,Point of Sale - Interac RETAIL PURCHASE 000001001868 HALLMARK-MERCHA,14.88,
2021-06-09,Point of Sale - Interac RETAIL PURCHASE 000403050609 URBAN MARKET 19,50.12,
2021-06-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,19.33,
2021-06-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,22.99,
2021-06-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,48.56,
2021-06-08,Electronic Funds Transfer PREAUTHORIZED DEBIT MANULIFE,30.93,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 000001001556 WALMART STORE #,130.29,
2021-06-07,Internet Banking INTERNET TRANSFER 000000221452,,1500.00
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 000001303169 COLEMANS,60.53,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 000001525065 MCDONALD'S #567,1.61,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 115717649675 GRECO PIZZA,25.10,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 000001935115 SHOPPERS DRUG M,8.04,
2021-06-07,Automated Banking Machine ATM WITHDRAWAL MOUNT PEARL BKNG CTR 4B2Z,500.00,
2021-06-07,Automated Banking Machine ATM WITHDRAWAL MOUNT PEARL BKNG CTR 4B2Z,500.00,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 000001001938 NORTHERN BAY SA,50.00,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 000517750605 SMALL POINT GEN,6.89,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 9ZGC1B660000 SUBWAY SUBBAY I,22.95,
2021-06-07,Point of Sale - Interac RETAIL PURCHASE 000001001103 COSTCO WHOLESAL,758.65,
2021-06-04,Point of Sale - Interac RETAIL PURCHASE 115517199662 Lemon and Lime,40.12,
2021-06-04,Point of Sale - Interac RETAIL PURCHASE 115510875322 LESTERS FARM MA,14.88,
2021-06-04,Point of Sale - Interac RETAIL PURCHASE 115510868022 LESTERS FARM MA,84.25,
2021-06-04,Point of Sale - Interac RETAIL PURCHASE 000001001265 DOLLARAMA #1149,69.23,
2021-06-04,Point of Sale - Interac RETAIL PURCHASE 115408825756 TIM HORTONS #81,28.73,
2021-06-04,Internet Banking E-TRANSFER 103799857982 Ashley,75.00,
2021-06-03,Internet Banking INTERNET BILL PAY 000000225612 NEWFOUNDLAND POWER,425.00,
2021-06-03,Internet Banking INTERNET TRANSFER 000000210910,1750.00,
2021-06-02,Point of Sale - Interac RETAIL PURCHASE 137502555486 SQ *SALTWATER D,10.62,
2021-06-02,Point of Sale - Interac RETAIL PURCHASE 001001001322 JUNGLE JIM'S -,27.98,
2021-06-01,Electronic Funds Transfer PREAUTHORIZED DEBIT LITTLE PEOPLE'S,475.00,
2021-06-01,Electronic Funds Transfer PREAUTHORIZED DEBIT LITTLE PEOPLE'S,154.00,
2021-06-01,Electronic Funds Transfer PREAUTHORIZED DEBIT 000000000000000 IG FIN SERV IG SERV FIN,1600.00,
2021-06-01,Point of Sale - Interac RETAIL PURCHASE 000001460103 SOBEYS #340,248.97,
2021-06-01,Internet Banking INTERNET BILL PAY 000000958625 BELL ALIANT NL,125.00,
